original_index,0,1,2,3,4,5,6,7,8
93,0.08090605414451572,0.05642715077426097,0.2612077272927413,0.07542312556316967,0.07209721571108214,0.03975410624448644,0.04348152421308194,0.03809001411977595,0.060095005872349457
94,1.0,1.6773892398659454e-308,2.032880269947608e-308,3.626327899328832e-308,1.937476763000764e-308,1.9391214312635754e-308,4.808003501718257e-308,1.7864020859566764e-308,2.6000808428115553e-308
95,0.05957065694070536,0.0558347930094356,0.03930059600937598,0.06527667542750389,0.03737730012755641,0.07096202899123982,0.09808000066456304,0.13159280152294464,0.04830642783100154
96,0.11769421867265738,0.051534009202186426,0.046595709585920284,0.09129504524323724,0.04105389543210791,0.06276061290462905,0.2680259777385366,0.06732137296983481,0.06523877962356946
97,1.0,1.765019180711046e-308,2.0538192325798984e-308,4.594340738105955e-308,1.9179450036908593e-308,2.2822949833125505e-308,7.169835919966749e-308,2.0565871256391733e-308,2.9242501984770894e-308
98,0.4300730149221822,0.05187637252348376,0.05836611764785024,0.09009057550040579,0.0528527747183912,0.054785552042623975,0.1344193476889814,0.051792564796035466,0.07574368016004597
99,0.07403223476557123,0.038861453701206326,0.042955011208160844,0.07802690417171708,0.043561994697000325,0.06475048063023547,0.07078085322945984,0.04637548123719517,0.05728387567151811
100,0.33220532441299905,0.05209639798458204,0.07335591175575384,0.1386832695401709,0.052201371491424946,0.060949183208443274,0.10229125591245675,0.050511956592609965,0.13770532910155917
101,0.0460553597813907,0.16617871326943165,0.07768693572910061,0.06747263859263901,0.06059362351096752,0.058644895976437794,0.046576554760613585,0.09274675518973063,0.050674993573353075
102,2.5989198852492424e-308,2.5930670265654047e-308,1.0,2.7454504386744723e-308,2.8268147844600534e-308,1.602574661665764e-308,1.5845971885927567e-308,1.5860762981266464e-308,2.2868656273313673e-308
103,0.1402828430740945,0.04659923129849093,0.04536445274844041,0.09172385254887688,0.042625426694511206,0.0746789132193073,0.38884794754980356,0.06963181442325261,0.0698963070241636
104,0.04723659147221435,0.35531809327259745,0.07929964249524797,0.06440531134889456,0.056092330117985,0.054439617342157215,0.0469838317405726,0.08751847518236935,0.04993796314924061
105,0.05377818550484078,0.03473001927130281,0.033082337814595304,0.07812133577113801,0.02975349200322594,0.20133816456581893,0.05912372286430264,0.07445478038590236,0.06502735707502845
106,0.07271876410157815,0.031888105750726314,0.03563505233832772,0.11355080204561017,0.02961196659069148,0.05376818816893973,0.074248266307056,0.0492966549560702,0.05703506309967262
107,0.04142007278020064,0.5815624901176564,0.07185179136697617,0.05504954178726331,0.04705151397319279,0.04532559500374709,0.03952318193863825,0.0686791247719228,0.04365749786784901
108,0.04297132046818092,0.026845648438775023,0.05440226567339537,0.049824544412490436,0.023494511448114822,0.022416067624256932,0.02379044788191975,0.02070826386198661,0.043446147802170695
109,0.618464501398583,0.036050459716347995,0.04680258743337242,0.0627140566602228,0.03935275247113611,0.036596393185341365,0.0679505676599051,0.032674461562525015,0.05939421991256611
110,1.55172710573425e-308,1.0,2.609076168321757e-308,2.0346285802372434e-308,1.659902549743913e-308,1.6197305192141414e-308,1.475313769065007e-308,2.4771517633227747e-308,1.602197078483285e-308
112,2.1099432544485314e-308,1.5447609165814655e-308,1.449872879642167e-308,2.880948072837437e-308,1.35365778126833e-308,1.0,2.324121903907236e-308,3.4894274212541715e-308,2.766663640055693e-308
113,0.05773667952955785,0.08659299549120901,0.4008007268592884,0.06704843457737227,0.115562857893743,0.045828498453611075,0.041933825998692574,0.04935365854029884,0.053129512566263
114,3.322869311838912e-308,2.479247702526993e-308,3.081171424983623e-308,1.0,2.090881419727113e-308,3.6300046275814254e-308,2.902551414301386e-308,3.0092664023289834e-308,5.216770457750714e-308
115,0.27657231740071064,0.03719351492942221,0.04624471993326997,0.12122533304129905,0.04149412419601965,0.050508154275785075,0.12035479895531216,0.04342041952075612,0.06762551550536677
116,0.1175795274539793,0.04671086218079234,0.04650522752640323,0.10324518234840778,0.04255575115492497,0.08815685068318987,0.1889737983551312,0.08014737970162601,0.07302032606588882
117,1.679708166654403e-308,1.641109335135138e-308,2.9635480576271027e-308,1.8356873362277676e-308,1.0,1.328243055961634e-308,1.2741936501868275e-308,1.2862467153862696e-308,1.435099233389835e-308
