original_index,0,1,2,3,4,5,6,7
123,0.07156447610066383,0.13089613430165456,0.07247860208997088,0.053064503873981275,0.08101389129249205,0.22858976286812585,0.05917873774128408,0.059764464815127184
124,0.11188132597132516,0.06637904304866953,0.06637977626696748,0.07922553487587265,0.11401476790176895,0.11447632988164881,0.08557870763569549,0.0662038862677346
125,0.1266359566504327,0.07902147262475685,0.07820920299295629,0.05911464073876635,0.06660538086710646,0.11533060332890206,0.10455999237020921,0.11138516922209654
126,0.033597642386874106,0.023928026981766513,0.04909011091002034,0.06821941237235554,0.036057905762646975,0.030738211456424448,0.05673902855052289,0.04601547630944543
127,1.7953299878409043e-308,1.0,1.30127095925083e-308,1.156763329462716e-308,2.002605031569517e-308,2.5699387813845537e-308,1.2278797950297426e-308,1.258872814255259e-308
128,0.07074679066647588,0.3663270395854078,0.046035283980921306,0.04154282961452986,0.0757244571952131,0.10532693393062188,0.045134393984610964,0.045593671479291435
129,0.026040530238510256,0.02336441670335226,0.07667046196249,0.06638948531554531,0.03447170900262932,0.03223341239080442,0.04382331238046726,0.04118493087236514
130,2.7117563112451895e-308,1.257188565818449e-308,2.245827347836714e-308,1.862752193610083e-308,1.4655113826724394e-308,1.6031473381140747e-308,1.0,5.84584471298364e-308
131,0.05644270196456131,0.028466947363875745,0.039165236519022165,0.03004640276025982,0.02871576646006153,0.0383508608849143,0.07697602133187204,0.08925303671418226
132,1.0,1.4130655528271177e-308,1.384483751482393e-308,1.506196693170877e-308,1.5607236963265915e-308,1.6459625197843704e-308,3.021633757600194e-308,2.1857756028657905e-308
133,0.04594219095087799,0.41726720375655807,0.040461381858811186,0.03361681914491061,0.054613873835469444,0.07001057249386478,0.03529688165215854,0.037040524419579036
134,0.027531359085792437,0.024978085091862157,0.04493606269542853,0.7040100080502886,0.047953016815030745,0.03202611619875125,0.03611587195785096,0.0318543682996776
135,0.05637923829596107,0.033468435461417326,0.05090906573947135,0.03286036342042689,0.03099674172724345,0.040364695825468935,0.10634514807947053,0.422753133795636
136,0.0637886455124927,0.04687965568566092,0.0843937621808063,0.04767367325941618,0.04415105952034434,0.06150310357244567,0.11561973597459245,0.1933766266407902
137,0.06305420962838422,0.08885334945418424,0.07563977936304568,0.05391142268159564,0.07213131417441065,0.2865737736958723,0.05745600639685191,0.056638214049994175
138,0.10834632424772456,0.1291163735715595,0.06179902336254632,0.05319495621978298,0.0889092412151523,0.1848390096865083,0.06767623912596717,0.06641777424667875
139,0.49006684008139617,0.04683237989668603,0.04205730627962374,0.040768086119012496,0.04478815537856741,0.0516284681179923,0.08939020894617428,0.07692290716204006
140,0.06344618372990213,0.08935097513505934,0.08002953905647607,0.05875454175261168,0.07514157661345124,0.1737420748695541,0.059786940037063536,0.05993222283526491
141,0.1128609043638739,0.19630061039697644,0.061261756551378756,0.055307898108518314,0.09686622869480345,0.1569993367912001,0.06437610379864958,0.06395468914307913
142,1.739643245951404e-308,1.0,1.3695851133271004e-308,1.2168036765583786e-308,2.117799852489537e-308,2.567136061686546e-308,1.2588891064132355e-308,1.2847476047343955e-308
143,1.2647814390571123e-308,1.281372009567243e-308,1.0,1.991341941423217e-308,1.4570276390755237e-308,1.8859391633439553e-308,2.2037307573497195e-308,2.5334217176196226e-308
144,0.06176293406430565,0.07595970574579118,0.08975047490439787,0.056403581212003416,0.06841515554417145,0.2747828090784822,0.06396693267124443,0.06321647622394277
145,0.10418894179631895,0.06439741910075454,0.08018438703524922,0.10333755850281758,0.10908546788252575,0.10969455873733484,0.1075750567442407,0.07787256709968317
146,0.05972685588930506,0.03227176633465481,0.058404572550487435,0.03954286347089809,0.03350948449781371,0.04135005268170749,0.2623226607859041,0.24849864436526675
147,1.8594207012317357e-308,2.7515454495611764e-308,2.104099418179974e-308,1.6506761209794404e-308,2.8068276623806675e-308,1.0,1.688124861402547e-308,1.600550092745881e-308
148,0.04107033388114641,0.04232279525660448,0.04613634428631223,0.08959238920028369,0.20327293162370433,0.05580174131628108,0.04342283627081039,0.03751719385530327
149,0.3314316262286755,0.057188566132076034,0.05618913667250687,0.06066086242483,0.06497200217278967,0.07258910728296751,0.10823424814868812,0.08104454093422926
150,0.11088386367379689,0.037151094803292296,0.04914731979359536,0.04940818818884686,0.043616684970448606,0.044188942023349574,0.2624284631071121,0.0954464660170873
151,0.08056062816558969,0.2647973963471494,0.056296169617404315,0.05002395563031279,0.09173884036185781,0.14625401871789215,0.05356097816317081,0.05335633952663958
152,1.623517074532101e-308,2.1088759802978014e-308,1.505935717278064e-308,2.1119149590043946e-308,1.0,2.529723982889559e-308,1.3929577721880995e-308,1.256440775756799e-308
153,0.060584969720146035,0.04414557502907865,0.1052747684724427,0.05380840241847069,0.04521232731989679,0.062091047949604454,0.13023555891818558,0.1741296669155898
154,0.09825881049129279,0.12338916754117997,0.06613581941039638,0.05468916544064192,0.09185825875634634,0.22807267392191888,0.06888146759563486,0.06708951158100195
155,1.2997272092026645e-308,1.1612262855297447e-308,1.9879781795738247e-308,1.0,2.3626860221818815e-308,1.511135156011345e-308,1.6704144592350916e-308,1.444898190296273e-308
156,0.5939855003836174,0.05988554097758766,0.041247387906041794,0.04236741739199978,0.05601263079707902,0.06219685265064865,0.0653639041396162,0.0583933402341472
157,1.0,1.881117699910463e-308,1.3996392878522107e-308,1.4120449210232487e-308,1.795456508530776e-308,2.06755890734011e-308,2.3489522280124636e-308,2.0701316591573665e-308
158,0.09481008214591566,0.19101343945788982,0.06140576675595406,0.05639395137207367,0.1077664541427068,0.18327637659731394,0.06072020289219579,0.058727386226239034
159,0.04990883863097421,0.04272340923640398,0.17131445696879738,0.06059439629236316,0.04799290435688761,0.06635120931765288,0.09924441754346697,0.11089211128409826
160,0.12758573999654144,0.06905175619763353,0.07523552222843938,0.09219774625399264,0.10194551005505913,0.11067324480706878,0.10255547679373757,0.07709096056645226
161,0.18331691188083593,0.07614742264004942,0.06411770451605972,0.06820450973991186,0.08610907692031705,0.10588173090483984,0.09005076483583917,0.07601096624014594
163,0.059503164555775416,0.07255384749941793,0.07180488370064815,0.05429704683062541,0.08029483502768806,0.4856618902749937,0.0582769987166161,0.05390076455275213
