original_index,0,1,2,3,4,5,6,7
124,0.14162927805250305,0.04677342538459281,0.05437850862941918,0.09588700260565632,0.18492846011295153,0.06232557795155772,0.09791660965371142,0.06501072157688828
125,0.5246827834511284,0.04201642944968924,0.03744620202880828,0.09200662503016692,0.08227577263825205,0.06498502539536391,0.05561505570032603,0.050980377188108605
126,0.02721296467179689,0.02405415880481816,0.6253677401072213,0.032290303547530014,0.045459004337824356,0.024319115381300615,0.04824136200433601,0.05638116838440044
127,0.030812641226344417,0.014274626043358997,0.013853181895773793,0.018638304144817867,0.024681567655526846,0.8545399284144133,0.01697555768148232,0.0199623331033281
128,0.5489344983826506,0.032546057645169275,0.03212327643528458,0.05889041487459487,0.06627447302592349,0.07672312592189193,0.04109100896694508,0.042263579415416655
129,0.028231593806966607,0.026162151260929207,0.3291662046402198,0.03307762733836817,0.051009462605926495,0.026441118551921595,0.05195979931824296,0.06374557332750579
130,0.0570685048968704,0.22495350382743226,0.05628404148137452,0.12001015550073468,0.0642102040074879,0.04936352366148612,0.12661055669828106,0.10887263305025416
131,0.06641016179291279,0.15912065564669683,0.05312400439473708,0.10765656117304027,0.079128965475297,0.07117411434897229,0.11104904779877384,0.10813929173349938
132,0.03638629104487581,0.11251740128471531,0.03899488529445484,0.06707671349646943,0.04676515885702996,0.032315550345389576,0.1260354237486982,0.06345718545400782
133,0.03514218726013764,0.022505107936633788,0.020154523605819766,0.025990776941600006,0.034308352921604536,0.5502014470436297,0.025242585441764415,0.030282065002757454
134,1.107677833697768e-308,9.56301534737308e-309,1.0,1.288463391942675e-308,1.751941570428117e-308,9.742992330223276e-309,1.808268909455556e-308,2.0704961982202957e-308
135,0.04114533895318756,0.6192595937277818,0.040726703385319196,0.06428198332621742,0.0498228957389352,0.04379000071505578,0.07930435497610262,0.061669129177400445
136,0.05296039318040935,0.2595608062210422,0.05021970257644962,0.08931928938073672,0.06282510499933217,0.056907969353818255,0.10290407582395486,0.09357152318325933
137,0.32262742508517456,0.053468785485096974,0.04727234322492597,0.13761856576090134,0.09004945986102554,0.07302625728939562,0.06709447275211508,0.06779973755653486
138,0.406822795489003,0.04720987115271859,0.04902644387873591,0.11675436758510016,0.0844130041981436,0.06827247017411223,0.06274665397096914,0.06965493417359707
139,0.03927506557351509,0.15656227740041218,0.04344802875112867,0.05993861180135317,0.04933468139944278,0.04267855144240144,0.08297306303019801,0.07677799023777536
140,1.930790302994005e-308,2.138939568368739e-308,2.437152453857412e-308,2.8298587818201453e-308,2.358265029857397e-308,1.880021527081758e-308,3.4138935973400323e-308,1.0
141,0.6101191438890304,0.03556497690522373,0.038455575505283876,0.06882152620082004,0.08241313438538221,0.07019196678641193,0.047977988394532364,0.04645568793331541
