original_index,0,1,2,3,4,5,6,7,8,9
18,0.6578504783245074,0.04444233793558138,0.02907870112015901,0.031044027702524936,0.03105984232446475,0.032678922593609265,0.0475692452018451,0.0486290513904952,0.04015123489908952,0.03749615850772347
19,0.0511239132596466,0.035734159412424506,0.05306914575322358,0.021420058770135173,0.040215385445584784,0.07306709744825231,0.029342679675339354,0.4650167724301959,0.03654187322501653,0.1221298205147688
20,0.07768918793903848,0.07841178538969286,0.07742576452861076,0.03684415308159252,0.05154005980202544,0.14955531792667634,0.042037562189379714,0.1052695364481644,0.04598981414938509,0.09333498270797978
21,0.07273014836274293,0.0497414826504158,0.07729006736824748,0.029534821017427305,0.05552298994471734,0.12491091351275578,0.04017339831012586,0.2599135907136569,0.04937348640355153,0.1684700076509467
22,0.07365189001314437,0.09434054016485689,0.10207293321073464,0.04009734264277159,0.06259470772078192,0.14779417734136385,0.04610069524612316,0.15107525600467792,0.05428246019612034,0.12704116406447533
24,0.03873391391026186,0.04458487194470816,0.2816789361759106,0.028523501517740277,0.058563741683812606,0.15098262853724848,0.031668004113981345,0.0819926866228164,0.04197868615732459,0.10737886913124356
25,0.03443598295616259,0.036165374670668146,0.22608086747025397,0.02485805874870549,0.10163796776967736,0.07291472417758044,0.03138597578916932,0.06616952974499045,0.050155516441814256,0.11245285322156524
26,0.33193690965865524,0.08394058590446177,0.058896988324285644,0.05553746155584059,0.061320589322373345,0.06990619828103793,0.08341890378603242,0.10097734622261342,0.07537562469833659,0.07868939224636291
27,0.04851708896364197,0.059457203128479706,0.15711006569411845,0.033222844646033214,0.06412364982706908,0.13969441544179606,0.03723872739263623,0.07845671532900605,0.04733497617391086,0.10130478854340907
29,0.048764857747719374,0.05007408220287406,0.08355873928697191,0.02900787041442803,0.04528364270036728,0.26477758399833695,0.03163462180302906,0.07862437518657496,0.037980730155404756,0.07872151970956855
30,1.5684361666866347e-308,1.747402457213359e-308,3.661722768827202e-308,1.4322534955920757e-308,1.0,2.13612654977268e-308,1.975086065894458e-308,2.1789390988922316e-308,4.08873023838244e-308,2.8566612269166474e-308
32,0.03230466419249383,0.045457034748038666,0.026744528009659926,0.5513690266749492,0.0319631035133556,0.025321673776012046,0.08570225442247457,0.02711029513265037,0.049168308528052526,0.024781092372317196
34,0.4720667066670491,0.05335676917866307,0.0491289866828907,0.03965338978631745,0.05475852206848285,0.053785159290633794,0.061573693557831696,0.08024018917166914,0.06694326850900009,0.06849331508746201
36,0.32544915965430826,0.0753060246298509,0.05424954428038335,0.05333575101935171,0.05984119055540325,0.05884786493431669,0.09055997778914456,0.090923211196384,0.0813276902908527,0.06988420787015978
37,0.053503476690434995,0.05564559013727523,0.08127214240538058,0.028659316947849116,0.04431235207675117,0.23084941017719324,0.03263693361151574,0.138219267498662,0.03807810737022827,0.10587664914288054
38,0.5001511874329628,0.05093241247484741,0.04610609079240114,0.03795422626514203,0.05138886543419273,0.050662514214089474,0.05949804065418874,0.07581603917060457,0.06318098099060591,0.06430964257096522
39,0.03276277860831464,0.054027001061207655,0.031424014873037136,0.32025557549790346,0.035417111891194585,0.029271466969077658,0.06802942982145059,0.03049070359557836,0.04994507327779453,0.027873088938452674
40,0.23954843598854705,0.08110704772308698,0.05949024562102524,0.04657808794365556,0.06051117116245538,0.07080742874402363,0.0704377873047367,0.11996177934054679,0.07036703750067075,0.08838867890726271
41,0.038183766402477316,0.4239332938946537,0.03243477512746681,0.03234291078451296,0.03048035938258203,0.0338612244347072,0.03256476364769159,0.0340165589485184,0.032861375159500765,0.03193740891753666
42,2.1845928405945137e-308,2.0759662578094386e-308,4.267492350550255e-308,1.2188160137387695e-308,2.061084445741013e-308,1.0,1.4026467982445825e-308,5.780399460733557e-308,1.698781839646561e-308,5.316144124305837e-308
43,0.05158234150344962,0.06709704670302198,0.10793311896416385,0.03216582545438816,0.05461371122337412,0.14262460235610136,0.035886283100824236,0.09424765729364623,0.044354409951291925,0.1047198370363618
44,0.029816687302290087,0.03284571797648726,0.09116334181181503,0.025364244470342943,0.3061654690029312,0.0453080453751183,0.03384351150648062,0.04571994090711824,0.06345814362676469,0.06460401367346914
45,0.04389398585863964,0.05972613479824078,0.03967888764104844,0.029587888701830024,0.04912223662278258,0.036130826244916946,0.04324656926457498,0.037197617799609964,0.05101269285731117,0.03973763671060742
46,2.4657786989158165e-308,2.2095397188781687e-308,5.331003821569699e-308,1.2969119321850083e-308,2.9581313632884755e-308,6.08301826586879e-308,1.635276795780538e-308,8.752450983927248e-308,2.2134141638484806e-308,1.0
47,2.106336241453352e-308,2.072119186257296e-308,4.492505205922399e-308,1.230378865740282e-308,2.0877414620301484e-308,1.0,1.3928038860180053e-308,4.729503921042546e-308,1.6916907117781316e-308,4.722268903655466e-308
48,1.0,2.345042702778908e-308,1.717076283042948e-308,1.331268010465336e-308,1.704977933418803e-308,2.144922926937608e-308,1.8753919679529236e-308,2.8933833009819075e-308,1.861588260596867e-308,2.455012923315186e-308
49,0.03967999775095379,0.052700368320010314,0.04172924057735162,0.02957102148302168,0.03613928091501199,0.04761973311201617,0.03806091993755604,0.05335153912137672,0.038274116429443804,0.04280719175410496
50,1.939182953540708e-308,2.095823369383705e-308,1.538123547830998e-308,3.620717945636676e-308,2.2426879920317783e-308,1.382006692744001e-308,1.0,1.5576987645056566e-308,5.476193569288529e-308,1.498428100600931e-308
52,0.03844024605708744,0.04100260242293146,0.07087806688033117,0.031209328194716435,0.19874171339524305,0.047897180453959465,0.04657532311514806,0.04864592563187578,0.09323323174129354,0.060746505843225246
53,0.0370207298197652,0.0438925977097457,0.08602033472321262,0.023331688745369672,0.04341597958708762,0.11089202571378297,0.027359661273885564,0.09292563064962288,0.0351508731711772,0.0952042680701477
54,2.2064190227049894e-308,2.0919728897077555e-308,4.813317834709282e-308,1.238727970954056e-308,2.230353384792924e-308,1.0,1.447071318773376e-308,5.444839869540677e-308,1.78794342663602e-308,5.676277349114993e-308
55,0.027984226796871882,0.6946069609547854,0.02158315433950535,0.026466551658074156,0.020867382033118814,0.022669409111113727,0.026487871722369875,0.026215391844556096,0.0244089012958782,0.02243174168137404
56,1.3000866317652347e-308,2.029456495227286e-308,1.1883326194666344e-308,1.0,1.362880359972534e-308,1.111725381403872e-308,2.7089416911040706e-308,1.1640609683884804e-308,1.920468269258346e-308,1.0708397448976963e-308
