original_index,0,1,2,3,4,5,6
155,0.0815865291851586,0.034074197193807894,0.06454261057345266,0.04245013556163388,0.05469388905550506,0.03446350971160189,0.6364978144067701
156,0.053089621613631566,0.2860507560553354,0.10922550292151127,0.17506521455532573,0.09881069104547323,0.08824944029343805,0.06909475339825043
157,0.045004813731170754,0.06135349161573596,0.08899067294636703,0.10038152894525519,0.38701982422655146,0.05184183412612443,0.07288614525010313
158,0.04048432371354204,0.09003592511782582,0.07314777453171774,0.3224308544769154,0.13346182214503885,0.0711115085691901,0.05595269053735517
159,0.09698957896716434,0.0709234863447965,0.323897041069131,0.07039158408771255,0.08879336272753698,0.05596359667644073,0.1205169268642892
160,0.03632702293854622,0.0630613581107607,0.07808375539928672,0.13171150768687204,0.2088739605733493,0.047322192239675764,0.05757531181005863
161,0.040026028895514223,0.08497627644804939,0.0762473634740496,0.4586723509725995,0.14001001344524142,0.06186974101262378,0.06006442964228616
163,0.7672991201269674,0.03239112336362411,0.04547420243279165,0.032464983428689295,0.03363142534773406,0.035951270601033494,0.052787874699160055
164,1.0,9.32118817453421e-309,1.325653174537039e-308,9.3323617538416e-309,9.974889212505607e-309,1.0441731364331716e-308,1.5265472853707405e-308
165,1.0,9.362953752725756e-309,1.449238680320568e-308,9.837180230425365e-309,1.091703761682057e-308,1.05311568474861e-308,1.791335291379036e-308
166,0.3593747157483081,0.05427879969576198,0.08003946477447839,0.0568288874717395,0.06138656255625227,0.06122362823794848,0.10669849487875602
168,0.057968982061851665,0.05532226428068859,0.07200664757611606,0.04802582846542577,0.04897504080324069,0.05067841816324655,0.05205824860099649
169,0.03332940112513299,0.07424169782608543,0.03721040392988461,0.07445618995157258,0.03950160061143909,0.2369720175232316,0.033744987790584186
170,0.03919668954516267,0.09248954411094844,0.05948637736469058,0.24135227102605664,0.07344636401776855,0.0879800746064017,0.04996334387237597
171,0.5570191980158579,0.07330168488013077,0.08494030406191688,0.06439538352521308,0.063129271899846,0.07333402047570214,0.08388013714133323
172,0.323968969727921,0.08369189696149715,0.07886000338400125,0.07215936498659195,0.06323723439966016,0.09220719045896701,0.08126473544322736
173,0.029770381186077364,0.04579546975589746,0.07084928742206635,0.07371976544335726,0.6249127318500196,0.033780698359549104,0.049656322853996626
174,0.12140126250423867,0.04209883697097115,0.08550033666978385,0.05002262104504658,0.0631780934745741,0.04259926244934075,0.27404134830173466
176,0.044315355755666905,0.2411327086662795,0.0721527026293358,0.09247364607492146,0.06904679794255486,0.09508076654146842,0.047208052634577766
177,0.03133913111831367,0.03373473943975066,0.09303717042678804,0.04193916633395505,0.0748967001843748,0.02683721656328743,0.0492343758307952
178,0.1693712329406938,0.03170932576766622,0.05626986045660938,0.0362402592438851,0.042415799271040604,0.034081445694148914,0.10873568517535952
179,0.04758400902856774,0.29460782950020653,0.07827382967082647,0.10010398508027328,0.07435810820882345,0.10124991518528607,0.05079833775021747
180,0.05298426345697665,0.35370924738350223,0.09100357628056663,0.12035522009669154,0.0879417810312357,0.11194091622304271,0.058069901843401855
181,0.06116384338703307,0.19646317076868117,0.10438675532272983,0.15556458676133755,0.09090771638808917,0.10115961407399028,0.07493363865549842
182,0.04578568597920311,0.4337321824479635,0.08586266343648874,0.13188381670178373,0.08409158044864415,0.09419490875252765,0.05374954983531166
183,0.5422458544099248,0.07716280178635836,0.07558910713289739,0.06648543818061169,0.0607712110120255,0.08324880775440086,0.07777625365486945
184,0.060973453310301184,0.055734324910865926,0.04169974797257734,0.04540587817889397,0.03492436372391986,0.06798124319789182,0.03948115065370971
185,0.04538100132632844,0.1417156173436591,0.11625024745277128,0.11143614079364239,0.08270012332260235,0.0611656422172607,0.05955075943555439
186,0.6149967345340629,0.05252134752692177,0.061309467590351434,0.04981076055320669,0.04738652429282637,0.0563214215260105,0.07009357712612892
187,0.2947558585149029,0.059007527168734614,0.07515578325456158,0.0653268029461262,0.06730333875258243,0.08017971963570118,0.09319306597077334
188,0.0443851639450069,0.11051095161904503,0.11127377508444748,0.11295781475594074,0.08244222961985231,0.05668034540674438,0.06455770985351457
189,0.058099360957424934,0.24439844846651254,0.12725383475540125,0.13459445035808734,0.12119727081866868,0.09496484503808919,0.07028622325186583
190,0.05745975424156571,0.12255030123059318,0.1024965683568504,0.2231024448215003,0.1657059931701382,0.10240961735933458,0.0727005228475973
191,0.04343126563215029,0.458936651068,0.08521975374153079,0.12485342180321485,0.07551508748614465,0.07736513947645553,0.05311707684577306
192,0.05109637704854955,0.13950608032914785,0.12348507422662373,0.11100082308860035,0.11493057317809645,0.07488392681405583,0.06338632510039352
193,0.3361326550474287,0.12268520254285815,0.12748612563706704,0.0979188199832533,0.09439068641619176,0.1092774898430196,0.11210902053018136
194,0.8580132112421275,0.023957241143396465,0.02562717372246517,0.0211959776804223,0.019748568307848373,0.02466079729494552,0.026797030608794622
195,0.7447596754741084,0.0436227716863322,0.04725570151115347,0.03767497866551265,0.03591034422992546,0.04352032151308423,0.04725620691988365
196,0.4511444951108652,0.0573031981666431,0.08568225169754193,0.060131636973834016,0.06519705952401929,0.06442284737151713,0.11430371237836502
197,0.029807032438940697,0.05251223508842368,0.09916415423446599,0.04781069332251502,0.04881004884020064,0.031136686701254447,0.03850044861415165
198,0.051539811903218616,0.1872625771940577,0.0846467476297959,0.18278120810430795,0.08709020160446927,0.11151146301429679,0.06306627999549613
199,0.6245628498258382,0.0455736504988159,0.07317228431349093,0.04927096136609399,0.05424752368110911,0.050331960157281336,0.10284077015737053
200,0.5902733074149616,0.06968797957330164,0.07639184685545211,0.06020482250839277,0.05816928252790937,0.07014210945416675,0.07513065166581581
201,0.039217712131963386,0.059983653284913604,0.33861556025629364,0.06135421557095111,0.08107964505918719,0.036791889657505454,0.05847239958165013
202,0.01993920892144467,0.7473506522996127,0.03280769327026164,0.037393520857791435,0.027837193506171778,0.03702985463522284,0.020688544337746514
203,0.05296364037122026,0.18933498790193243,0.10871396471840791,0.13954896977728642,0.12252292109458503,0.092520645344364,0.0646584623308799
204,0.05041989624154586,0.04846339490760158,0.5576851321507958,0.04805546456948942,0.06541139541935675,0.03568613444418054,0.07341068386590105
205,0.31242898528737106,0.11885172938918595,0.12551936383648093,0.09499438293129903,0.09179136021458548,0.10553902289551131,0.11053973400474064
206,0.4318581419592224,0.10012652102127095,0.10861812260827139,0.08341929414709616,0.08065766012005318,0.09459676693414444,0.10072349320994142
208,0.03830846924863141,0.07073720875539134,0.03900425327892966,0.0685219389148252,0.04122973469905249,0.6516691131378793,0.03620940190529995
209,0.05348603712133461,0.34679032067644533,0.1079181295594827,0.15445555473712036,0.0944284841001623,0.09108222408864836,0.06750960310195415
210,0.538615853476635,0.08071289010853785,0.08638243091900769,0.06812612311011698,0.06500752371955375,0.0782910096119462,0.08286416905420255
211,0.027729158833058303,0.08088159108297724,0.032825550290200754,0.05595949269877668,0.032119477232139884,0.11021170147014697,0.02723228106780963
212,0.05735195324877412,0.23077664564584713,0.110816039867925,0.16150312211252046,0.12722852684295957,0.10933122939108363,0.06931619705207631
213,0.053350511071827825,0.06816538294382711,0.0736225459703205,0.05478694293369364,0.05465088437432271,0.05752266754574416,0.05163725708811375
215,0.06683016281497371,0.07068923769289119,0.1118434916353148,0.07226692027108886,0.0704021287130195,0.060203698951326684,0.08384215599459822
217,0.6089368329150623,0.06757415859791642,0.06999669290719851,0.05801052986131281,0.054379419323164216,0.07100202228155475,0.07010034411379089
218,0.4084915357949535,0.07652458043139808,0.07559088575458653,0.0664991861741189,0.05923892147498287,0.08133046420810656,0.07837832293700733
219,0.057523754371353354,0.117150368930276,0.1003310437769227,0.22821897156618867,0.16777410478178403,0.102023343563773,0.07340361503728202
220,0.09481040589974654,0.056722491771865696,0.1974308143696181,0.061156403845644636,0.08635555681512416,0.049606575298225306,0.12697474807081618
221,0.03726921822056508,0.04596010699686455,0.04905327225648461,0.05884652951615648,0.041002119500239124,0.04279342722955902,0.0479702567781142
222,0.04731691037657371,0.03582188315808793,0.08511274713804234,0.038731117636827544,0.05002780647819511,0.030512836378722943,0.05613262550636282
223,0.48409078567910624,0.06119407963323687,0.08816162331541749,0.066650681653961,0.06842858404037462,0.07173205259258988,0.11517547898810664
224,0.7283771702928657,0.03463856676471851,0.050653765181757494,0.037494954875018964,0.040982742337577566,0.04092635823649649,0.06692644231156536
